iter	Passed	Remaining
0	180	180289
1	184	92013
2	188	62513
3	191	47790
4	195	38958
5	199	33016
6	202	28730
7	206	25626
8	210	23176
9	213	21183
10	217	19576
11	221	18233
12	225	17088
13	228	16088
14	231	15186
15	233	14379
16	236	13650
17	237	12979
18	239	12379
19	241	11849
20	243	11372
21	245	10914
22	247	10501
23	248	10117
24	250	9764
25	251	9434
26	253	9124
27	254	8828
28	255	8559
29	257	8309
30	258	8074
31	259	7849
32	260	7634
33	261	7432
34	262	7240
35	263	7057
36	264	6884
37	265	6720
38	266	6564
39	267	6416
40	268	6275
41	269	6143
42	270	6019
43	271	5897
44	272	5779
45	273	5666
46	274	5557
47	275	5454
48	276	5357
49	277	5264
50	278	5173
51	278	5084
52	279	4999
53	280	4919
54	281	4842
55	282	4769
56	284	4699
57	285	4631
58	286	4565
59	287	4498
60	288	4434
61	288	4371
62	289	4312
63	290	4253
64	291	4197
65	292	4142
66	293	4088
67	294	4031
68	294	3980
69	295	3931
70	296	3884
71	297	3840
72	299	3796
73	300	3756
74	301	3715
75	302	3674
76	303	3633
77	304	3593
78	305	3556
79	306	3520
80	307	3484
81	308	3450
82	309	3417
83	310	3384
84	311	3348
85	312	3317
86	312	3283
87	313	3251
88	314	3221
89	315	3191
90	316	3162
91	317	3133
92	318	3105
93	319	3078
94	320	3051
95	321	3024
96	322	2998
97	322	2972
98	323	2948
99	324	2923
100	325	2899
101	326	2872
102	327	2849
103	328	2826
104	328	2803
105	329	2781
106	330	2761
107	331	2741
108	333	2722
109	334	2703
110	335	2684
111	336	2666
112	337	2647
113	338	2628
114	339	2609
115	339	2589
116	340	2572
117	341	2555
118	342	2536
119	343	2519
120	344	2503
121	346	2490
122	346	2473
123	348	2459
124	349	2446
125	351	2434
126	352	2421
127	353	2404
128	354	2390
129	355	2377
130	356	2363
131	357	2350
132	358	2337
133	359	2324
134	360	2311
135	362	2301
136	363	2290
137	364	2276
138	365	2265
139	366	2253
140	367	2241
141	368	2229
142	369	2217
143	371	2205
144	372	2194
145	373	2182
146	374	2170
147	375	2160
148	376	2150
149	377	2138
150	378	2128
151	379	2117
152	380	2106
153	381	2096
154	382	2086
155	383	2076
156	384	2066
157	386	2057
158	387	2047
159	388	2038
160	389	2029
161	390	2020
162	391	2011
163	392	2001
164	393	1992
165	394	1983
166	395	1974
167	396	1965
168	397	1956
169	399	1948
170	400	1939
171	401	1931
172	402	1922
173	403	1914
174	404	1905
175	405	1898
176	406	1889
177	407	1882
178	408	1874
179	409	1865
180	410	1855
181	411	1848
182	412	1840
183	413	1832
184	414	1824
185	415	1817
186	416	1809
187	417	1801
188	418	1794
189	419	1787
190	420	1781
191	421	1774
192	422	1767
193	423	1761
194	424	1754
195	426	1747
196	427	1740
197	428	1736
198	429	1730
199	430	1723
200	432	1718
201	433	1711
202	434	1705
203	435	1699
204	436	1692
205	437	1686
206	439	1681
207	440	1676
208	441	1670
209	442	1665
210	444	1660
211	445	1654
212	446	1649
213	447	1644
214	448	1638
215	450	1633
216	451	1628
217	452	1624
218	453	1618
219	455	1613
220	456	1609
221	458	1605
222	459	1601
223	461	1598
224	462	1593
225	464	1589
226	465	1586
227	467	1581
228	468	1576
229	469	1571
230	470	1567
231	471	1561
232	472	1556
233	473	1551
234	474	1545
235	475	1540
236	477	1536
237	478	1532
238	480	1528
239	481	1524
240	482	1520
241	484	1518
242	485	1513
243	486	1508
244	488	1503
245	489	1501
246	491	1497
247	492	1492
248	493	1487
249	494	1483
250	495	1479
251	496	1474
252	497	1469
253	499	1465
254	500	1461
255	501	1458
256	503	1454
257	505	1452
258	506	1450
259	508	1448
260	510	1446
261	512	1442
262	514	1441
263	515	1437
264	516	1432
265	517	1428
266	518	1424
267	519	1419
268	520	1415
269	521	1411
270	522	1406
271	523	1402
272	524	1397
273	526	1393
274	527	1389
275	528	1385
276	529	1381
277	530	1377
278	531	1373
279	532	1369
280	533	1365
281	534	1361
282	535	1357
283	536	1352
284	537	1349
285	538	1344
286	539	1341
287	541	1337
288	542	1333
289	543	1329
290	544	1325
291	545	1321
292	546	1318
293	547	1314
294	548	1310
295	549	1306
296	550	1303
297	551	1299
298	552	1295
299	553	1291
300	554	1288
301	555	1284
302	556	1280
303	557	1277
304	559	1273
305	560	1270
306	561	1266
307	562	1263
308	563	1259
309	564	1256
310	565	1252
311	566	1249
312	567	1245
313	568	1242
314	569	1238
315	570	1235
316	572	1232
317	573	1229
318	574	1225
319	575	1222
320	576	1219
321	577	1216
322	579	1213
323	580	1210
324	581	1208
325	583	1205
326	584	1202
327	585	1199
328	586	1196
329	587	1193
330	588	1189
331	589	1186
332	590	1182
333	591	1179
334	592	1176
335	593	1173
336	594	1169
337	595	1166
338	596	1163
339	597	1160
340	599	1157
341	600	1154
342	601	1151
343	602	1148
344	603	1145
345	604	1142
346	605	1139
347	606	1136
348	607	1133
349	608	1130
350	609	1127
351	610	1124
352	611	1121
353	613	1118
354	614	1115
355	615	1112
356	616	1109
357	617	1106
358	618	1103
359	619	1101
360	620	1098
361	621	1095
362	622	1092
363	623	1089
364	624	1087
365	625	1084
366	627	1081
367	628	1078
368	629	1076
369	630	1073
370	631	1070
371	632	1067
372	633	1065
373	634	1062
374	635	1059
375	637	1057
376	638	1054
377	639	1052
378	640	1049
379	641	1046
380	642	1043
381	643	1041
382	644	1038
383	646	1036
384	647	1033
385	648	1031
386	649	1028
387	650	1026
388	651	1023
389	652	1020
390	653	1018
391	654	1015
392	656	1013
393	657	1010
394	658	1008
395	659	1005
396	660	1003
397	661	1001
398	662	998
399	664	996
400	665	993
401	666	991
402	667	988
403	668	986
404	669	983
405	670	981
406	672	979
407	673	976
408	674	974
409	675	972
410	676	969
411	677	967
412	679	965
413	680	962
414	681	960
415	682	958
416	683	955
417	684	953
418	685	950
419	687	948
420	688	946
421	689	944
422	690	941
423	691	939
424	692	937
425	693	934
426	694	932
427	695	930
428	697	927
429	698	925
430	699	923
431	700	920
432	701	918
433	702	916
434	703	914
435	704	911
436	705	909
437	707	907
438	708	904
439	709	902
440	710	900
441	711	898
442	712	896
443	713	893
444	715	891
445	716	889
446	717	887
447	718	885
448	719	883
449	720	881
450	721	878
451	723	876
452	724	874
453	725	872
454	726	870
455	727	868
456	728	865
457	730	864
458	731	862
459	733	860
460	734	859
461	735	856
462	737	854
463	738	853
464	739	851
465	740	849
466	742	846
467	743	844
468	744	842
469	745	840
470	746	838
471	747	835
472	748	833
473	749	831
474	750	829
475	752	827
476	753	825
477	754	823
478	755	821
479	756	819
480	757	817
481	758	815
482	759	813
483	760	811
484	762	809
485	763	807
486	764	805
487	765	802
488	766	800
489	767	798
490	768	796
491	769	794
492	770	792
493	771	790
494	773	788
495	774	786
496	775	784
497	776	782
498	776	780
499	777	777
500	779	775
501	779	773
502	781	771
503	782	769
504	783	767
505	784	765
506	785	763
507	786	761
508	787	759
509	791	760
510	792	758
511	793	755
512	794	754
513	795	752
514	796	750
515	797	748
516	798	746
517	800	744
518	801	742
519	802	740
520	803	738
521	804	736
522	805	734
523	806	732
524	807	731
525	809	729
526	810	727
527	811	725
528	812	723
529	813	721
530	814	719
531	815	717
532	817	715
533	818	714
534	819	712
535	820	710
536	821	708
537	822	706
538	823	704
539	824	702
540	826	700
541	827	698
542	828	697
543	829	695
544	830	693
545	831	691
546	832	689
547	833	687
548	835	685
549	836	684
550	837	682
551	838	680
552	839	678
553	840	676
554	841	675
555	843	673
556	844	671
557	845	669
558	846	667
559	847	665
560	848	664
561	849	662
562	850	660
563	851	658
564	852	656
565	854	655
566	855	653
567	856	651
568	857	649
569	858	647
570	859	646
571	861	644
572	862	642
573	863	640
574	864	638
575	865	637
576	866	635
577	867	633
578	868	631
579	869	629
580	870	628
581	872	626
582	873	624
583	874	622
584	875	621
585	876	619
586	877	617
587	878	615
588	879	613
589	881	612
590	882	610
591	883	608
592	884	607
593	885	605
594	886	603
595	887	601
596	889	600
597	890	598
598	891	596
599	892	595
